hora,events,placarFull,placarHafTime,golsHalfTime,oddsHome,oddsDraw,oddsAway,timesgol
11:00,Países Baixos v EUA,3-1,2 - 0,"[76, 81]",1.90,3.30,4.33,76
15:00,Argentina v Austrália,2-1,1 - 0,"[57, 77]",1.28,6.00,9.00,57
06:30,Gabala v Sabail,2-1,1 - 1,[65],-,-,-,65
12:30,Fermana v Reggiana,0-3,0 - 2,[54],-,-,-,54
12:30,Olbia v Recanatese,1-1,0 - 0,"[50, 80]",-,-,-,50
08:00,Chennaiyin v Hyderabad,1-3,0 - 0,"[66, 75, 79, 86]",3.30,3.40,1.95,66
10:00,Bengaluru FC v ATK Mohun Bagan,0-1,0 - 0,[66],2.80,3.40,2.15,66
04:30,Rajasthan United v Neroca FC,1-0,1 - 0,[],-,-,-,100
11:00,Ettelbruck v Racing Luxembourg,0-1,0 - 1,[],-,-,-,100
13:00,Mondercange v Kaerjeng,1-1,0 - 1,[90],-,-,-,90
07:00,Gzira v Balzan,0-1,0 - 1,[],-,-,-,100
07:00,Sirens v Hibernians,0-1,0 - 1,[],-,-,-,100
09:15,Floriana v Marsaxlokk,1-1,0 - 1,[57],-,-,-,57
09:00,Sabah Baku v Shamakhi,1-1,1 - 0,[88],-,-,-,88
08:00,Jedinstvo v Rudar,0-0,0 - 0,[],-,-,-,100
08:00,Jezero v Decic,0-0,0 - 0,[],-,-,-,100
08:00,Mornar v Buducnost,1-2,0 - 1,"[60, 74]",-,-,-,60
08:00,OFK Petrovac v Iskra,1-0,0 - 0,[83],-,-,-,83
08:30,Arsenal Tivat v Sutjeska,2-2,0 - 1,"[53, 59, 71]",-,-,-,53
17:30,Deportes Linares v Chile U23,1-8,0 - 1,"[49, 57, 64, 68, 71, 76, 78, 85]",-,-,-,49
05:00,Benesov (Cze) v Dukla Praga B (Cze),1-3,1 - 1,[],-,-,-,100
05:30,GKS Jastrzębie (Pol) v Bielsko-Biala (Pol),2-1,1 - 0,"[47, 88]",-,-,-,47
05:30,Motorlet Prague (Cze) v Jablonec B (Cze),2-3,1 - 1,"[60, 66, 78]",-,-,-,60
05:30,Trinec (Cze) v Vitkovice (Cze),1-1,0 - 0,"[50, 51]",-,-,-,50
11:00,Virton v Lommel SK,0-1,0 - 0,[61],2.90,3.50,2.10,61
06:00,Ajax (Ned) v Blackburn (Eng),0-2,0 - 0,"[55, 75]",-,-,-,55
15:00,RWDM 47 v Club Brugge U23,0-2,0 - 1,[52],1.30,5.25,7.50,52
08:00,Wolfsburg F v Eintracht Frankfurt F,5-0,3 - 0,"[54, 86]",-,-,-,54
21:00,Liberia v Quepos Cambute,1-0,1 - 0,[],-,-,-,100
19:00,Cartagines v Sporting San Jose,2-1,0 - 0,"[56, 60, 87]",1.72,3.80,4.00,56
21:00,AD Santos v Saprissa,1-1,0 - 0,"[56, 68]",4.75,3.50,1.66,56
11:00,Arbroath v Morton,1-1,0 - 1,[47],2.60,3.10,2.60,47
