hora,events,placarFull,placarHafTime,golsHalfTime,oddsHome,oddsDraw,oddsAway,timesgol
11:00,Ayr v Raith,2-0,1 - 0,[70],2.05,3.30,3.25,70
11:00,Freiburg F v Duisburg F,4-1,0 - 1,"[56, 60, 68, 91]",-,-,-,56
11:00,Cove Rangers v Partick,1-1,1 - 0,[95],2.80,3.30,2.30,95
11:00,Inverness v Dundee FC,0-1,0 - 1,[],3.40,3.40,1.95,100
11:00,Queen's Park v Hamilton,4-0,4 - 0,[],1.83,3.50,3.80,100
11:00,Clyde v FC Edinburgh,0-2,0 - 1,[67],2.55,3.40,2.50,67
11:00,Dunfermline v Queen of South,1-1,0 - 1,[67],1.72,3.80,4.00,67
11:00,Falkirk v Airdrieonians,1-1,1 - 0,[78],2.15,3.40,3.00,78
11:00,Kelty Hearts v Peterhead,3-0,0 - 0,"[46, 83, 90]",1.50,4.00,5.50,46
11:00,Montrose v Alloa,0-0,0 - 0,[],2.20,3.30,3.10,100
11:00,Bonnyrigg Rose v Dumbarton,1-1,1 - 0,[60],3.00,3.50,2.00,60
11:00,East Fife v Annan,1-3,1 - 1,"[51, 80]",2.37,3.75,2.40,51
10:00,Belouizdad v MC Alger,0-0,Publicidade,[],-,-,-,100
11:00,Elgin v Stenhousemuir,2-1,2 - 1,[],2.45,3.50,2.50,100
11:00,Forfar v Albion Rovers,1-0,1 - 0,[],2.10,3.50,2.87,100
11:00,Stranraer v Stirling,3-1,2 - 1,[61],2.80,3.40,2.20,61
11:15,Zaragoza v UD Ibiza,2-1,0 - 1,"[68, 91]",1.60,3.60,6.50,68
13:30,Mirandes v Albacete,4-2,3 - 1,"[62, 86]",2.40,2.90,3.30,62
13:30,Sporting Gijón v Las Palmas,0-1,0 - 1,[],2.45,3.00,3.20,100
16:00,Villarreal B v Leganés,0-0,0 - 0,[],3.00,2.90,2.55,100
05:30,Bolnisi v Loco. Tbilisi,5-2,3 - 1,"[53, 64, 65]",-,-,-,53
05:30,Din. Tbilisi v Gagra,2-1,1 - 0,"[66, 73]",-,-,-,66
05:30,Dinamo Batumi v Torpedo Kutaisi,2-2,1 - 1,"[66, 92]",-,-,-,66
10:00,USM Alger v Setif,1-1,0 - 0,"[68, 76]",-,-,-,68
05:30,Saburtalo Tbilisi v Telavi,0-1,0 - 0,[75],-,-,-,75
08:00,Dila Gori v Samgurali,3-0,1 - 0,"[69, 91]",-,-,-,69
11:00,St Josephs v Lynx,2-1,2 - 0,[51],-,-,-,51
13:30,Europa FC v College 1975 FC,5-0,4 - 0,[74],-,-,-,74
07:45,Smyrnis v PAE Chania,1-0,1 - 0,[],-,-,-,100
09:00,Karditsa v Niki Volos,1-0,1 - 0,[],-,-,-,100
09:00,Makedonikos v Iraklis,2-0,1 - 0,[51],-,-,-,51
09:00,PAE Egaleo v Olympiacos B,0-0,0 - 0,[],-,-,-,100
14:00,Malacateco v Municipal,1-0,0 - 0,[86],-,-,-,86
20:00,Comunicaciones v Guastatoya,2-0,0 - 0,"[59, 76]",-,-,-,59
12:00,Saoura v Constantine,3-1,2 - 0,"[58, 60]",-,-,-,58
18:30,Motagua v Victoria,2-1,1 - 0,"[73, 88]",-,-,-,73
03:00,Southern District v Tai Po,3-1,3 - 0,[66],-,-,-,66
06:00,Kitchee v Sham Shui Po,4-1,1 - 0,"[47, 52, 70, 94]",-,-,-,47
08:00,DVTK v Haladas,1-2,1 - 1,[75],-,-,-,75
08:30,Sunderland v Millwall,3-0,0 - 0,"[53, 58, 93]",2.62,3.10,2.87,53
08:30,Derby v Sheffield Wednesday,0-0,0 - 0,[],2.90,3.50,2.30,100
08:30,Milton Keynes v Burton,1-1,0 - 1,[84],2.40,3.25,3.00,84
08:30,Shrewsbury v Lincoln,2-0,1 - 0,[60],2.37,3.10,3.20,60
13:00,JS Kabylie v Paradou,2-1,0 - 1,"[48, 76]",-,-,-,48
09:00,Forest Green v Cambridge Utd,2-1,1 - 0,"[89, 93]",2.37,3.40,2.90,89
11:00,Accrington v Oxford Utd,1-1,0 - 0,"[58, 84]",3.20,3.60,2.15,58
08:30,Gillingham FC v Salford,0-3,0 - 0,"[54, 61, 75]",2.70,3.10,2.75,54
08:30,Leyton Orient v Bradford City,3-0,2 - 0,[85],2.15,3.25,3.60,85
08:30,Wimbledon v Grimsby,1-0,0 - 0,[60],2.62,3.25,2.70,60
09:00,Carlisle v Sutton,1-1,1 - 1,[],2.15,3.40,3.30,100
11:00,Crawley v Swindon,2-0,0 - 0,"[79, 83]",3.25,3.50,2.15,79
11:00,Hartlepool v Stockport,0-5,0 - 2,"[61, 67, 85]",5.25,3.80,1.66,61
11:00,Mansfield v Colchester,2-1,1 - 1,[92],1.61,3.80,5.50,92
11:00,Northampton v Tranmere,0-0,0 - 0,[],2.05,3.20,3.80,100
06:00,Noah v Lernayin Artsakh,2-0,2 - 0,[],-,-,-,100
11:00,Rochdale v Harrogate,1-4,1 - 1,"[53, 58, 70]",2.05,3.60,3.40,53
11:00,Ballymena v Cliftonville,4-1,1 - 0,"[53, 55, 70, 82]",-,-,-,53
11:00,Coleraine v Dungannon,2-0,2 - 0,[],-,-,-,100
11:00,Crusaders v Glentoran,3-2,2 - 1,"[51, 59]",-,-,-,51
11:00,Linfield v C. Rangers,3-1,2 - 0,"[80, 92]",-,-,-,80
10:00,Knockbreda v Ballyclare,1-1,0 - 0,"[49, 68]",-,-,-,49
10:00,Newington v Warrenpoint,0-1,0 - 1,[],-,-,-,100
11:00,Ards v Institute,1-1,0 - 0,"[47, 55]",-,-,-,47
11:00,Dergview v H&W Welders,2-3,0 - 1,"[63, 80, 92, 95]",-,-,-,63
11:00,Loughgall v Ballinamallard,1-1,1 - 1,[],-,-,-,100
06:00,Van v BKMA,0-1,0 - 0,[48],-,-,-,48
09:00,Venezia v Ternana,2-1,2 - 1,[],2.37,3.20,3.00,100
13:00,Cagliari v Parma,1-1,0 - 1,[54],2.50,3.30,2.80,54
09:30,Ancona v Alessandria,3-0,1 - 0,"[51, 89]",-,-,-,51
09:30,Carrarese v Torres,0-1,0 - 1,[],-,-,-,100
09:30,Fiorenzuola v Rimini,2-1,0 - 0,"[61, 67, 88]",-,-,-,61
09:30,Gubbio v Siena,2-0,1 - 0,[85],-,-,-,85
09:30,Imolese v Vis Pesaro,0-0,0 - 0,[],-,-,-,100
09:30,Montevarchi v Pontedera,1-2,0 - 2,[73],-,-,-,73
12:30,Cesena v San Donato,3-2,2 - 0,"[46, 65, 68]",-,-,-,46
12:30,Entella v Lucchese,1-1,0 - 1,[91],-,-,-,91
