events,placarFull,placarHafTime,golsHalfTime,timesgol
Leverkusen v Freiburg,1-2,0 - 0,"[50, 61, 70]",50
Mainz v Augsburg,0-1,0 - 1,[],100
Union Berlin v Hoffenheim,1-1,1 - 1,[],100
RB Leipzig v Monchengladbach,3-2,0 - 2,"[57, 66, 93]",57
Bayern v Köln,5-1,2 - 0,"[49, 65, 82, 86]",49
Dortmund v Bielefeld,3-0,0 - 0,"[48, 58, 81]",48
Stuttgart v Schalke,5-1,3 - 1,"[88, 92]",88
Wolfsburg v Hertha,2-0,1 - 0,[89],89
Bremen v Frankfurt,2-1,0 - 1,"[47, 62]",47
Hoffenheim v Bremen,4-0,2 - 0,"[49, 90]",49
Hertha v RB Leipzig,0-3,0 - 1,"[71, 84]",71
Augsburg v Leverkusen,1-1,1 - 0,[94],94
Schalke v Dortmund,0-4,0 - 2,"[60, 79]",60
Frankfurt v Bayern,2-1,2 - 0,[53],53
Freiburg v Union Berlin,0-1,0 - 0,[64],64
Köln v Stuttgart,0-1,0 - 0,[49],49
Monchengladbach v Mainz,1-2,1 - 1,[86],86
Bielefeld v Wolfsburg,0-3,0 - 1,"[47, 54]",47
Bayern v Bielefeld,3-3,0 - 2,"[48, 49, 57, 69]",48
Wolfsburg v Monchengladbach,0-0,0 - 0,[],100
Frankfurt v Köln,2-0,0 - 0,"[57, 79]",57
Union Berlin v Schalke,0-0,0 - 0,[],100
Bremen v Freiburg,0-0,0 - 0,[],100
Dortmund v Hoffenheim,2-2,1 - 1,"[51, 81]",51
Leverkusen v Mainz,2-2,1 - 0,"[84, 89, 92]",84
Stuttgart v Hertha,1-1,1 - 0,[82],82
RB Leipzig v Augsburg,2-1,2 - 0,[77],77
Hoffenheim v Frankfurt,1-3,0 - 1,"[47, 62, 64]",47
Monchengladbach v Köln,1-2,1 - 1,[55],55
Augsburg v Wolfsburg,0-2,0 - 1,[59],59
Freiburg v Dortmund,2-1,0 - 0,"[49, 52, 76]",49
Leverkusen v Stuttgart,5-2,2 - 0,"[50, 56, 68, 77, 84]",50
Mainz v Union Berlin,1-0,1 - 0,[],100
Schalke v RB Leipzig,0-3,0 - 1,"[73, 87]",73
Hertha v Bayern,0-1,0 - 1,[],100
Wolfsburg v Freiburg,3-0,2 - 0,[85],85
Köln v Bielefeld,3-1,2 - 0,"[63, 72]",63
RB Leipzig v Leverkusen,1-0,0 - 0,[51],51
Bayern v Hoffenheim,4-1,2 - 1,"[57, 63]",57
Bremen v Schalke,1-1,0 - 1,[77],77
Dortmund v Augsburg,3-1,1 - 1,"[63, 75]",63
Frankfurt v Hertha,3-1,0 - 0,"[66, 67, 85, 95]",66
Union Berlin v Monchengladbach,1-1,1 - 0,[59],59
Stuttgart v Mainz,2-0,0 - 0,"[55, 72]",55
Hoffenheim v Köln,3-0,2 - 0,[75],75
Schalke v Bayern,0-4,0 - 1,"[54, 88, 90]",54
Hertha v Bremen,1-4,1 - 2,"[57, 77]",57
Augsburg v Union Berlin,2-1,1 - 1,[47],47
Bielefeld v Frankfurt,1-5,1 - 3,"[51, 75]",51
Freiburg v Stuttgart,2-1,2 - 1,[],100
Leverkusen v Wolfsburg,0-1,0 - 1,[],100
Mainz v RB Leipzig,3-2,2 - 2,[50],50
Monchengladbach v Dortmund,4-2,2 - 2,"[49, 78]",49
Augsburg v Bayern,0-1,0 - 1,[],100
Bielefeld v Stuttgart,3-0,1 - 0,"[47, 86]",47
Freiburg v Frankfurt,2-2,1 - 1,"[63, 75]",63
RB Leipzig v Union Berlin,1-0,0 - 0,[70],70
Schalke v Köln,1-2,0 - 1,"[57, 93]",57
Hertha v Hoffenheim,0-3,0 - 1,"[68, 88]",68
Leverkusen v Dortmund,2-1,1 - 0,"[67, 80]",67
Mainz v Wolfsburg,0-2,0 - 0,"[65, 79]",65
Monchengladbach v Bremen,1-0,0 - 0,[66],66
Frankfurt v Schalke,3-1,1 - 1,"[72, 91]",72
Bayern v Freiburg,2-1,1 - 0,"[62, 74]",62
Stuttgart v Monchengladbach,2-2,0 - 1,"[58, 61, 96]",58
Bremen v Augsburg,2-0,0 - 0,"[84, 87]",84
Dortmund v Mainz,1-1,0 - 0,"[57, 73]",57
Hoffenheim v Bielefeld,0-0,0 - 0,[],100
Köln v Hertha,0-0,0 - 0,[],100
Wolfsburg v RB Leipzig,2-2,2 - 1,[54],54
Union Berlin v Leverkusen,1-0,0 - 0,[88],88
Bielefeld v Hertha,1-0,0 - 0,[64],64
Augsburg v Stuttgart,1-4,0 - 2,"[46, 61, 87]",46
RB Leipzig v Dortmund,1-3,0 - 0,"[55, 71, 84, 89]",55
Freiburg v Köln,5-0,2 - 0,"[59, 69, 79]",59
Leverkusen v Bremen,1-1,0 - 0,"[52, 70]",52
Mainz v Frankfurt,0-2,0 - 1,[72],72
Schalke v Hoffenheim,4-0,1 - 0,"[57, 63, 79]",57
