events,placarFull,placarHafTime,golsHalfTime,timesgol
Hamburger SV v Hertha,0-2,0 - 1,[63],63
Hertha v Hamburger SV,0-1,0 - 0,[57],57
Augsburg v Furth,2-1,1 - 1,[84],84
Bielefeld v RB Leipzig,1-1,0 - 0,"[70, 93]",70
Dortmund v Hertha,2-1,0 - 1,"[68, 84]",68
Leverkusen v Freiburg,2-1,0 - 0,"[54, 88, 97]",54
Mainz v Frankfurt,2-2,1 - 2,[49],49
Monchengladbach v Hoffenheim,5-1,3 - 1,"[53, 68]",53
Stuttgart v Köln,2-1,1 - 0,"[59, 92]",59
Union Berlin v Bochum,3-2,2 - 0,"[55, 79, 88]",55
Wolfsburg v Bayern,2-2,1 - 2,[58],58
RB Leipzig v Augsburg,4-0,1 - 0,"[48, 57, 64]",48
Bayern v Stuttgart,2-2,2 - 1,[52],52
Frankfurt v Monchengladbach,1-1,0 - 1,[66],66
Hertha v Mainz,1-2,1 - 1,[81],81
Freiburg v Union Berlin,1-4,0 - 3,"[59, 90]",59
Furth v Dortmund,1-3,0 - 1,"[70, 72, 77]",70
Hoffenheim v Leverkusen,2-4,2 - 1,"[73, 76, 91]",73
Köln v Wolfsburg,0-1,0 - 1,[],100
Bochum v Bielefeld,2-1,1 - 1,[89],89
Leverkusen v Frankfurt,2-0,1 - 0,[51],51
Monchengladbach v RB Leipzig,3-1,2 - 1,[77],77
Hoffenheim v Freiburg,3-4,1 - 1,"[49, 50, 70, 73, 84]",49
Augsburg v Köln,1-4,0 - 2,"[63, 73, 77]",63
Bielefeld v Hertha,1-1,0 - 0,"[54, 91]",54
Dortmund v Bochum,3-4,2 - 2,"[62, 81, 85]",62
Mainz v Bayern,3-1,2 - 1,[57],57
Stuttgart v Wolfsburg,1-1,0 - 1,[89],89
Union Berlin v Furth,1-1,0 - 1,[72],72
Hertha v Stuttgart,2-0,1 - 0,[93],93
Bochum v Augsburg,0-2,0 - 2,[],100
Bayern v Dortmund,3-1,2 - 0,"[52, 83]",52
Frankfurt v Hoffenheim,2-2,1 - 1,"[66, 78]",66
Freiburg v Monchengladbach,3-3,0 - 2,"[49, 61, 80, 93]",49
Furth v Leverkusen,1-4,1 - 2,"[58, 84]",58
Köln v Bielefeld,3-1,2 - 1,[86],86
RB Leipzig v Union Berlin,1-2,0 - 0,"[46, 86, 89]",46
Wolfsburg v Mainz,5-0,5 - 0,[],100
Leverkusen v RB Leipzig,0-1,0 - 0,[69],69
Hoffenheim v Furth,0-0,0 - 0,[],100
Union Berlin v Frankfurt,2-0,2 - 0,[],100
Bielefeld v Bayern,0-3,0 - 2,[85],85
Monchengladbach v Köln,1-3,0 - 3,[85],85
Augsburg v Hertha,0-1,0 - 0,[49],49
Dortmund v Wolfsburg,6-1,5 - 0,"[54, 81]",54
Freiburg v Bochum,3-0,2 - 0,[53],53
