events,placarFull,placarHafTime,golsHalfTime,timesgol
Mainz v Stuttgart,0-0,0 - 0,[],100
RB Leipzig v Hoffenheim,3-0,3 - 0,[],100
Frankfurt v Freiburg,1-2,0 - 1,"[54, 69]",54
Bochum v Leverkusen,0-0,0 - 0,[],100
Hertha v Union Berlin,1-4,0 - 1,"[49, 53, 74, 85]",49
Bayern v Augsburg,1-0,0 - 0,[82],82
Furth v Monchengladbach,0-2,0 - 2,[],100
Köln v Mainz,3-2,0 - 1,"[55, 60, 78, 82]",55
Wolfsburg v Bielefeld,4-0,2 - 0,"[48, 53]",48
Stuttgart v Dortmund,0-2,0 - 1,[71],71
Augsburg v Mainz,2-1,1 - 0,"[54, 56]",54
Monchengladbach v Mainz,1-1,1 - 0,[73],73
Augsburg v Wolfsburg,3-0,1 - 0,"[62, 69]",62
Dortmund v RB Leipzig,1-4,0 - 2,"[57, 84, 86]",57
Bielefeld v Stuttgart,1-1,0 - 1,[59],59
Frankfurt v Furth,0-0,0 - 0,[],100
Freiburg v Bayern,1-4,0 - 0,"[58, 63, 73, 82, 96]",58
Hoffenheim v Bochum,1-2,0 - 1,"[54, 59]",54
Leverkusen v Hertha,2-1,2 - 1,[],100
Union Berlin v Köln,1-0,0 - 0,[49],49
Köln v Dortmund,1-1,1 - 1,[],100
Wolfsburg v Leverkusen,0-2,0 - 0,"[86, 92]",86
RB Leipzig v Frankfurt,0-0,0 - 0,[],100
Bayern v Union Berlin,4-0,3 - 0,[47],47
Furth v Freiburg,0-0,0 - 0,[],100
Hertha v Hoffenheim,3-0,1 - 0,"[63, 74]",63
Mainz v Bielefeld,4-0,1 - 0,"[65, 75, 79]",65
Stuttgart v Augsburg,3-2,1 - 2,"[79, 85]",79
Bochum v Monchengladbach,0-2,0 - 0,"[55, 61]",55
Mainz v Dortmund,0-1,0 - 0,[87],87
Furth v RB Leipzig,1-6,1 - 4,"[59, 69]",59
Dortmund v Bielefeld,1-0,1 - 0,[],100
Frankfurt v Bochum,2-1,0 - 1,"[46, 52]",46
Leverkusen v Köln,0-1,0 - 0,[67],67
Monchengladbach v Hertha,2-0,1 - 0,[59],59
Freiburg v Wolfsburg,3-2,2 - 0,"[52, 84, 87]",52
Hoffenheim v Bayern,1-1,1 - 1,[],100
Union Berlin v Stuttgart,1-1,1 - 0,[90],90
Köln v Hoffenheim,0-1,0 - 0,[61],61
Stuttgart v Monchengladbach,3-2,1 - 2,"[51, 83]",51
Bayern v Leverkusen,1-1,1 - 1,[],100
Bochum v Furth,2-1,1 - 0,"[64, 71]",64
Hertha v Frankfurt,1-4,0 - 1,"[48, 56, 61, 63]",48
RB Leipzig v Freiburg,1-1,0 - 1,[90],90
Wolfsburg v Union Berlin,1-0,1 - 0,[],100
Bielefeld v Augsburg,0-1,0 - 0,[50],50
Augsburg v Dortmund,1-1,0 - 1,[78],78
Bochum v RB Leipzig,0-1,0 - 0,[82],82
Frankfurt v Bayern,0-1,0 - 0,[71],71
Freiburg v Hertha,3-0,1 - 0,"[83, 86]",83
Furth v Köln,1-1,0 - 0,"[53, 69]",53
Leverkusen v Bielefeld,3-0,1 - 0,"[57, 81]",57
Monchengladbach v Wolfsburg,2-2,1 - 2,[82],82
Union Berlin v Mainz,3-1,1 - 0,"[56, 75, 90]",56
Hoffenheim v Stuttgart,2-1,0 - 0,"[58, 85, 90]",58
Hertha v RB Leipzig,1-6,0 - 1,"[48, 64, 67, 74, 81, 88]",48
Dortmund v Monchengladbach,6-0,2 - 0,"[70, 74, 82, 91]",70
Bayern v Furth,4-1,0 - 1,"[46, 61, 82, 91]",46
Köln v Frankfurt,1-0,0 - 0,[84],84
Augsburg v Freiburg,1-2,1 - 2,[],100
Bielefeld v Union Berlin,1-0,0 - 0,[53],53
Stuttgart v Bochum,1-1,0 - 0,"[56, 94]",56
Wolfsburg v Hoffenheim,1-2,1 - 0,"[73, 78]",73
Mainz v Leverkusen,3-2,0 - 1,"[57, 74, 84, 88]",57
Hoffenheim v Bielefeld,2-0,1 - 0,[51],51
Union Berlin v Dortmund,0-3,0 - 2,[71],71
Leverkusen v Stuttgart,4-2,1 - 0,"[49, 52, 86, 88, 89]",49
Bochum v Bayern,4-2,4 - 1,[75],75
Frankfurt v Wolfsburg,0-2,0 - 1,[93],93
Freiburg v Mainz,1-1,0 - 1,[69],69
Furth v Hertha,2-1,1 - 0,"[71, 82]",71
Monchengladbach v Augsburg,3-2,1 - 0,"[46, 55, 67, 93]",46
RB Leipzig v Köln,3-1,1 - 0,"[54, 57, 91]",54
Wolfsburg v Furth,4-1,1 - 1,"[49, 70, 75]",49
Dortmund v Leverkusen,2-5,1 - 3,"[53, 87, 89]",53
Bayern v RB Leipzig,3-2,2 - 1,"[53, 58]",53
Augsburg v Union Berlin,2-0,1 - 0,[59],59
Bielefeld v Monchengladbach,1-1,1 - 1,[],100
Köln v Freiburg,1-0,1 - 0,[],100
Mainz v Hoffenheim,2-0,0 - 0,"[79, 83]",79
Stuttgart v Frankfurt,2-3,1 - 1,"[47, 70, 77]",47
Hertha v Bochum,1-1,1 - 0,[48],48
Hertha v Bayern,1-4,0 - 2,"[75, 79, 80]",75
RB Leipzig v Wolfsburg,2-0,0 - 0,"[76, 84]",76
Bochum v Köln,2-2,1 - 2,[70],70
Freiburg v Stuttgart,2-0,1 - 0,[72],72
Furth v Mainz,2-1,1 - 0,"[66, 93]",66
Hoffenheim v Dortmund,2-3,1 - 1,"[58, 66, 77]",58
Leverkusen v Augsburg,5-1,2 - 0,"[62, 65, 69, 81]",62
Monchengladbach v Union Berlin,1-2,1 - 1,[84],84
Frankfurt v Bielefeld,0-2,0 - 2,[],100
Bielefeld v Furth,2-2,1 - 1,"[67, 83]",67
Augsburg v Frankfurt,1-1,1 - 1,[],100
Monchengladbach v Leverkusen,1-2,0 - 0,"[51, 74, 81]",51
Köln v Bayern,0-4,0 - 2,"[62, 74]",62
Mainz v Bochum,1-0,0 - 0,[48],48
Stuttgart v RB Leipzig,0-2,0 - 1,[70],70
Union Berlin v Hoffenheim,2-1,1 - 1,[73],73
Wolfsburg v Hertha,0-0,0 - 0,[],100
Dortmund v Freiburg,5-1,3 - 0,"[61, 75, 86]",61
Bochum v Wolfsburg,1-0,0 - 0,[65],65
Hertha v Köln,1-3,0 - 2,"[57, 91]",57
Frankfurt v Dortmund,2-3,2 - 0,"[71, 87, 89]",71
Freiburg v Bielefeld,2-2,1 - 0,"[46, 60, 87]",46
Furth v Stuttgart,0-0,0 - 0,[],100
Hoffenheim v Augsburg,3-1,2 - 1,[93],93
Leverkusen v Union Berlin,2-2,1 - 1,"[50, 84]",50
RB Leipzig v Mainz,4-1,1 - 0,"[47, 57, 58, 61]",47
Bayern v Monchengladbach,1-2,1 - 2,[],100
Köln v Stuttgart,1-0,0 - 0,[88],88
Freiburg v Leverkusen,2-1,1 - 1,[84],84
Hertha v Dortmund,3-2,0 - 1,"[51, 57, 69, 83]",51
Bochum v Union Berlin,0-1,0 - 1,[],100
Frankfurt v Mainz,1-0,1 - 0,[],100
Furth v Augsburg,0-0,0 - 0,[],100
Hoffenheim v Monchengladbach,1-1,0 - 1,[91],91
RB Leipzig v Bielefeld,0-2,0 - 0,"[57, 75]",57
Bayern v Wolfsburg,4-0,1 - 0,"[57, 59, 87]",57
Augsburg v RB Leipzig,1-1,0 - 1,[86],86
Dortmund v Furth,3-0,1 - 0,"[82, 89]",82
Leverkusen v Hoffenheim,2-2,1 - 0,"[63, 80, 83]",63
Union Berlin v Freiburg,0-0,0 - 0,[],100
Monchengladbach v Frankfurt,2-3,1 - 1,"[50, 54, 55]",50
Bielefeld v Bochum,2-0,0 - 0,"[51, 69]",51
Mainz v Hertha,4-0,2 - 0,"[49, 79]",49
Wolfsburg v Köln,2-3,1 - 1,"[51, 73, 89]",51
Stuttgart v Bayern,0-5,0 - 1,"[53, 69, 72, 74]",53
Frankfurt v Leverkusen,5-2,2 - 2,"[50, 66, 76]",50
Furth v Union Berlin,1-0,0 - 0,[56],56
Wolfsburg v Stuttgart,0-2,0 - 1,[63],63
Bayern v Mainz,2-1,0 - 1,"[53, 74]",53
Bochum v Dortmund,1-1,1 - 0,[85],85
Freiburg v Hoffenheim,1-2,1 - 1,[94],94
Hertha v Bielefeld,2-0,0 - 0,"[53, 95]",53
RB Leipzig v Monchengladbach,4-1,2 - 0,"[88, 91, 94]",88
Köln v Augsburg,0-2,0 - 0,"[72, 88]",72
Monchengladbach v Freiburg,0-6,0 - 6,[],100
Stuttgart v Hertha,2-2,2 - 1,[76],76
Dortmund v Bayern,2-3,1 - 2,"[48, 77]",48
Augsburg v Bochum,2-3,0 - 3,"[57, 86]",57
Bielefeld v Köln,1-1,0 - 1,[59],59
Hoffenheim v Frankfurt,3-2,2 - 1,"[59, 72]",59
Leverkusen v Furth,7-1,3 - 1,"[49, 69, 74, 76]",49
Mainz v Wolfsburg,3-0,2 - 0,[90],90
Union Berlin v RB Leipzig,2-1,1 - 1,[57],57
RB Leipzig v Leverkusen,1-3,0 - 2,"[62, 64]",62
Frankfurt v Union Berlin,2-1,1 - 0,"[62, 95]",62
Bayern v Bielefeld,1-0,0 - 0,[71],71
Bochum v Freiburg,2-1,0 - 0,"[51, 54, 82]",51
Furth v Hoffenheim,3-6,1 - 2,"[46, 57, 62, 66, 67, 80]",46
Hertha v Augsburg,1-1,1 - 0,[97],97
Köln v Monchengladbach,4-1,0 - 0,"[55, 74, 77, 78, 93]",55
Wolfsburg v Dortmund,1-3,1 - 1,"[55, 81]",55
Stuttgart v Mainz,2-1,1 - 1,[51],51
Mainz v Köln,1-1,1 - 0,[47],47
Freiburg v Frankfurt,0-2,0 - 2,[],100
Union Berlin v Hertha,2-0,2 - 0,[],100
Bielefeld v Wolfsburg,2-2,1 - 0,"[54, 62, 63]",54
Dortmund v Stuttgart,2-1,0 - 0,"[56, 63, 85]",56
Hoffenheim v RB Leipzig,2-0,1 - 0,[68],68
Leverkusen v Bochum,1-0,1 - 0,[],100
Monchengladbach v Furth,4-0,3 - 0,[57],57
Augsburg v Bayern,2-1,2 - 1,[],100
Furth v Frankfurt,1-2,0 - 0,"[75, 92, 94]",75
Köln v Union Berlin,2-2,1 - 2,[86],86
Hertha v Leverkusen,1-1,1 - 0,[90],90
RB Leipzig v Dortmund,2-1,1 - 0,"[52, 68]",52
Bayern v Freiburg,2-1,1 - 0,"[75, 93]",75
Bochum v Hoffenheim,2-0,0 - 0,"[66, 97]",66
Stuttgart v Bielefeld,0-1,0 - 1,[],100
Wolfsburg v Augsburg,1-0,1 - 0,[],100
Mainz v Monchengladbach,1-1,0 - 1,[76],76
Monchengladbach v Bochum,2-1,2 - 0,[86],86
Augsburg v Stuttgart,4-1,1 - 1,"[52, 72, 81]",52
Frankfurt v RB Leipzig,1-1,0 - 1,[94],94
Bielefeld v Mainz,1-2,1 - 1,[68],68
Dortmund v Köln,2-0,1 - 0,[63],63
Freiburg v Furth,3-1,2 - 0,"[74, 79]",74
Leverkusen v Wolfsburg,0-2,0 - 0,"[48, 51]",48
Union Berlin v Bayern,2-5,1 - 3,"[60, 65, 79]",60
Hoffenheim v Hertha,2-0,2 - 0,[],100
Bochum v Frankfurt,2-0,1 - 0,[92],92
Stuttgart v Union Berlin,1-1,0 - 1,[93],93
Köln v Leverkusen,2-2,0 - 2,"[63, 82]",63
Hertha v Monchengladbach,1-0,1 - 0,[],100
Bayern v Hoffenheim,4-0,2 - 0,"[82, 87]",82
Bielefeld v Dortmund,1-3,0 - 2,"[72, 87]",72
RB Leipzig v Furth,4-1,0 - 1,"[46, 53, 65, 88]",46
Wolfsburg v Freiburg,0-2,0 - 1,[68],68
Mainz v Augsburg,4-1,3 - 0,"[69, 71]",69
Augsburg v Bielefeld,1-1,1 - 0,[77],77
Leverkusen v Bayern,1-5,0 - 5,[55],55
Monchengladbach v Stuttgart,1-1,1 - 1,[],100
Dortmund v Mainz,3-1,1 - 0,"[54, 87, 94]",54
Frankfurt v Hertha,1-2,0 - 1,"[63, 78]",63
Freiburg v RB Leipzig,1-1,0 - 1,[64],64
Furth v Bochum,0-1,0 - 0,[80],80
Union Berlin v Wolfsburg,2-0,0 - 0,"[49, 83]",49
Hoffenheim v Köln,5-0,1 - 0,"[49, 51, 74, 87]",49
Bielefeld v Leverkusen,0-4,0 - 2,"[57, 92]",57
Bayern v Frankfurt,1-2,1 - 1,[83],83
Mainz v Union Berlin,1-2,1 - 0,"[69, 73]",69
RB Leipzig v Bochum,3-0,0 - 0,"[69, 73, 78]",69
Dortmund v Augsburg,2-1,1 - 1,[51],51
Hertha v Freiburg,1-2,0 - 1,"[70, 78]",70
Stuttgart v Hoffenheim,3-1,1 - 0,"[60, 81, 84]",60
Wolfsburg v Monchengladbach,1-3,1 - 2,[95],95
Köln v Furth,3-1,0 - 1,"[50, 55, 89]",50
Freiburg v Augsburg,3-0,3 - 0,[],100
Bochum v Stuttgart,0-0,0 - 0,[],100
Monchengladbach v Dortmund,1-0,1 - 0,[],100
Frankfurt v Köln,1-1,1 - 1,[],100
Hoffenheim v Wolfsburg,3-1,1 - 1,"[73, 81]",73
Leverkusen v Mainz,1-0,0 - 0,[62],62
RB Leipzig v Hertha,6-0,3 - 0,"[60, 70, 77]",60
Union Berlin v Bielefeld,1-0,0 - 0,[88],88
Furth v Bayern,1-3,0 - 2,"[68, 87]",68
Wolfsburg v Frankfurt,1-1,0 - 1,[70],70
Dortmund v Union Berlin,4-2,2 - 0,"[52, 57, 81, 83]",52
Stuttgart v Leverkusen,1-3,1 - 2,[70],70
Köln v RB Leipzig,1-1,0 - 0,"[53, 71]",53
Augsburg v Monchengladbach,1-0,0 - 0,[80],80
Bayern v Bochum,7-0,4 - 0,"[61, 65, 79]",61
Bielefeld v Hoffenheim,0-0,0 - 0,[],100
Mainz v Freiburg,0-0,0 - 0,[],100
Hertha v Furth,2-1,0 - 0,"[57, 61, 79]",57
Monchengladbach v Bielefeld,3-1,1 - 1,"[69, 72]",69
Bochum v Hertha,1-3,0 - 2,"[59, 78]",59
Frankfurt v Stuttgart,1-1,0 - 0,"[79, 88]",79
RB Leipzig v Bayern,1-4,0 - 1,"[47, 54, 58, 92]",47
Freiburg v Köln,1-1,0 - 1,[89],89
Furth v Wolfsburg,0-2,0 - 1,[91],91
Hoffenheim v Mainz,0-2,0 - 1,[77],77
Leverkusen v Dortmund,3-4,2 - 1,"[49, 55, 71, 77]",49
Union Berlin v Augsburg,0-0,0 - 0,[],100
Wolfsburg v RB Leipzig,1-0,0 - 0,[52],52
Union Berlin v Monchengladbach,2-1,2 - 0,[91],91
Bayern v Hertha,5-0,2 - 0,"[49, 70, 84]",49
Augsburg v Leverkusen,1-4,1 - 2,"[75, 81]",75
Bielefeld v Frankfurt,1-1,0 - 1,[86],86
Köln v Bochum,2-1,0 - 0,"[82, 91, 94]",82
Mainz v Furth,3-0,2 - 0,[92],92
Stuttgart v Freiburg,2-3,2 - 3,[],100
Dortmund v Hoffenheim,3-2,0 - 0,"[49, 61, 69, 90, 91]",49
Bayern v Köln,3-2,,[],100
Hoffenheim v Union Berlin,2-2,2 - 1,[47],47
Leverkusen v Monchengladbach,4-0,2 - 0,"[55, 87]",55
Bochum v Mainz,2-0,1 - 0,[56],56
Frankfurt v Augsburg,0-0,0 - 0,[],100
Freiburg v Dortmund,2-1,1 - 0,"[53, 59]",53
Furth v Bielefeld,1-1,0 - 1,[50],50
Hertha v Wolfsburg,1-2,0 - 0,"[60, 74, 88]",60
RB Leipzig v Stuttgart,4-0,1 - 0,"[46, 52, 65]",46
Köln v Hertha,3-1,1 - 1,"[52, 55]",52
Mainz v RB Leipzig,1-0,1 - 0,[],100
Dortmund v Frankfurt,5-2,3 - 1,"[58, 70, 86]",58
Augsburg v Hoffenheim,0-4,0 - 1,"[79, 87, 95]",79
Bielefeld v Freiburg,0-0,0 - 0,[],100
Stuttgart v Furth,5-1,2 - 0,"[55, 61, 76, 93]",55
Union Berlin v Leverkusen,1-1,1 - 1,[],100
Wolfsburg v Bochum,1-0,1 - 0,[],100
Monchengladbach v Bayern,1-1,1 - 1,[],100
