data,events,placarFull,placarHafTime,golsHalfTime,timesgol
03.04.2022,Montpellier v Brest,1-2,0 - 0,"[69, 79, 93]",69
03.04.2022,St. Etienne v Marseille,2-4,1 - 1,"[60, 68, 73, 86]",60
03.04.2022,Troyes v Reims,1-0,0 - 0,[92],92
03.04.2022,Strasbourg v Lens,1-0,0 - 0,[67],67
02.04.2022,Lille v Bordeaux,0-0,0 - 0,[],100
02.04.2022,Nice v Rennes,1-1,0 - 0,"[67, 78]",67
20.03.2022,Marseille v Nice,2-1,1 - 0,"[89, 91]",89
20.03.2022,Reims v Lyon,0-0,0 - 0,[],100
20.03.2022,Angers v Brest,1-0,1 - 0,[],100
20.03.2022,Bordeaux v Montpellier,0-2,0 - 2,[],100
20.03.2022,Lorient v Strasbourg,0-0,0 - 0,[],100
20.03.2022,Rennes v Metz,6-1,3 - 0,"[54, 58, 64, 87]",54
20.03.2022,Monaco v PSG,3-0,1 - 0,"[68, 84]",68
19.03.2022,Nantes v Lille,0-1,0 - 1,[],100
19.03.2022,Lens v Clermont,3-1,2 - 1,[58],58
18.03.2022,St. Etienne v Troyes,1-1,0 - 1,[67],67
13.03.2022,Brest v Marseille,1-4,0 - 1,"[63, 71, 91, 91]",63
13.03.2022,Lyon v Rennes,2-4,0 - 3,"[49, 59, 82]",49
13.03.2022,Angers v Reims,0-1,0 - 1,[],100
13.03.2022,Clermont v Lorient,0-2,0 - 0,"[72, 76]",72
13.03.2022,Metz v Lens,0-0,0 - 0,[],100
13.03.2022,Strasbourg v Monaco,1-0,1 - 0,[],100
13.03.2022,PSG v Bordeaux,3-0,1 - 0,"[52, 61]",52
12.03.2022,Troyes v Nantes,1-0,1 - 0,[],100
12.03.2022,Montpellier v Nice,0-0,0 - 0,[],100
11.03.2022,Lille v St. Etienne,0-0,0 - 0,[],100
06.03.2022,Marseille v Monaco,0-1,0 - 0,[58],58
06.03.2022,Lille v Clermont,4-0,1 - 0,"[71, 84, 90]",71
06.03.2022,Bordeaux v Troyes,0-2,0 - 1,[87],87
06.03.2022,Nantes v Montpellier,2-0,0 - 0,"[69, 92]",69
06.03.2022,Reims v Strasbourg,1-1,0 - 0,"[69, 84]",69
