data,events,placarFull,placarHafTime,golsHalfTime,timesgol
20.03.2022,Juventus v Salernitana,2-0,2 - 0,[],100
20.03.2022,Venezia v Sampdoria,0-2,0 - 2,[],100
19.03.2022,Cagliari v AC Milan,0-1,0 - 0,[59],59
19.03.2022,Inter v Fiorentina,1-1,0 - 0,"[50, 55]",50
19.03.2022,Napoli v Udinese,2-1,0 - 1,"[52, 63]",52
18.03.2022,Genoa v Torino,1-0,1 - 0,[],100
18.03.2022,Sassuolo v Spezia,4-1,1 - 1,"[48, 78, 81]",48
14.03.2022,Lazio v Venezia,1-0,0 - 0,[58],58
13.03.2022,Torino v Inter,1-1,1 - 0,[93],93
13.03.2022,Atalanta v Genoa,0-0,0 - 0,[],100
13.03.2022,Udinese v AS Roma,1-1,1 - 0,[94],94
13.03.2022,Verona v Napoli,1-2,0 - 1,"[71, 77]",71
13.03.2022,Fiorentina v Bologna,1-0,0 - 0,[70],70
12.03.2022,AC Milan v Empoli,1-0,1 - 0,[],100
12.03.2022,Sampdoria v Juventus,1-3,0 - 2,"[84, 88]",84
12.03.2022,Salernitana v Sassuolo,2-2,1 - 2,[81],81
12.03.2022,Spezia v Cagliari,2-0,0 - 0,"[55, 74]",55
06.03.2022,Napoli v AC Milan,0-1,0 - 0,[49],49
06.03.2022,Juventus v Spezia,1-0,1 - 0,[],100
06.03.2022,Bologna v Torino,0-0,0 - 0,[],100
06.03.2022,Fiorentina v Verona,1-1,1 - 1,[],100
06.03.2022,Venezia v Sassuolo,1-4,1 - 3,[71],71
06.03.2022,Genoa v Empoli,0-0,0 - 0,[],100
05.03.2022,Cagliari v Lazio,0-3,0 - 2,[62],62
05.03.2022,AS Roma v Atalanta,1-0,1 - 0,[],100
05.03.2022,Udinese v Sampdoria,2-1,2 - 1,[],100
04.03.2022,Inter v Salernitana,5-0,2 - 0,"[56, 64, 69]",56
28.02.2022,Atalanta v Sampdoria,4-0,2 - 0,"[61, 86]",61
27.02.2022,Lazio v Napoli,1-2,0 - 0,"[62, 88, 94]",62
27.02.2022,Spezia v AS Roma,0-1,0 - 0,[99],99
27.02.2022,Verona v Venezia,3-1,0 - 0,"[54, 63, 81, 88]",54
27.02.2022,Torino v Cagliari,1-2,0 - 1,"[54, 62]",54
26.02.2022,Sassuolo v Fiorentina,2-1,1 - 0,"[88, 94]",88
26.02.2022,Empoli v Juventus,2-3,1 - 2,"[66, 76]",66
26.02.2022,Salernitana v Bologna,1-1,0 - 1,[72],72
25.02.2022,Genoa v Inter,0-0,0 - 0,[],100
25.02.2022,AC Milan v Udinese,1-1,1 - 0,[66],66
21.02.2022,Bologna v Spezia,2-1,1 - 1,[84],84
21.02.2022,Cagliari v Napoli,1-1,0 - 0,"[58, 87]",58
20.02.2022,Udinese v Lazio,1-1,1 - 1,[],100
20.02.2022,Inter v Sassuolo,0-2,0 - 2,[],100
20.02.2022,Venezia v Genoa,1-1,1 - 1,[],100
20.02.2022,Fiorentina v Atalanta,1-0,0 - 0,[56],56
19.02.2022,Salernitana v AC Milan,2-2,1 - 1,"[72, 77]",72
19.02.2022,AS Roma v Verona,2-2,0 - 2,"[65, 84]",65
19.02.2022,Sampdoria v Empoli,2-0,2 - 0,[],100
18.02.2022,Juventus v Torino,1-1,1 - 0,[62],62
14.02.2022,Spezia v Fiorentina,1-2,0 - 1,"[74, 89]",74
13.02.2022,Atalanta v Juventus,1-1,0 - 0,"[76, 92]",76
13.02.2022,Sassuolo v AS Roma,2-2,0 - 1,"[47, 73, 94]",47
13.02.2022,Empoli v Cagliari,1-1,1 - 0,[84],84
13.02.2022,Genoa v Salernitana,1-1,1 - 1,[],100
13.02.2022,Verona v Udinese,4-0,2 - 0,"[66, 85]",66
13.02.2022,AC Milan v Sampdoria,1-0,1 - 0,[],100
12.02.2022,Torino v Venezia,1-2,1 - 1,[46],46
12.02.2022,Napoli v Inter,1-1,1 - 0,[47],47
