events,placarFull,placarHafTime,golsHalfTime,timesgol
Manchester City v Southampton,5-2,3 - 1,"[55, 56, 59]",55
West Ham v Leeds,2-0,2 - 0,[],100
Chelsea v Everton,2-0,1 - 0,[65],65
Tottenham v Crystal Palace,4-1,1 - 1,"[49, 52, 76]",49
Manchester City v Manchester Utd,0-2,0 - 1,[50],50
Liverpool v Fulham,0-1,0 - 1,[],100
West Bromwich v Newcastle,0-0,0 - 0,[],100
Brighton v Leicester,1-2,1 - 0,"[62, 87]",62
Aston Villa v Wolverhampton,0-0,0 - 0,[],100
Sheffield Utd v Southampton,0-2,0 - 1,[49],49
Burnley v Arsenal,1-1,1 - 1,[],100
Liverpool v Chelsea,0-1,0 - 1,[],100
Fulham v Tottenham,0-1,0 - 1,[],100
West Bromwich v Everton,0-1,0 - 0,[65],65
Crystal Palace v Manchester Utd,0-0,0 - 0,[],100
Burnley v Leicester,1-1,1 - 1,[],100
Sheffield Utd v Aston Villa,1-0,1 - 0,[],100
Manchester City v Wolverhampton,4-1,1 - 0,"[61, 80, 90, 93]",61
Everton v Southampton,1-0,1 - 0,[],100
Sheffield Utd v Liverpool,0-2,0 - 0,"[48, 64]",48
Chelsea v Manchester Utd,0-0,0 - 0,[],100
Tottenham v Burnley,4-0,3 - 0,[55],55
Crystal Palace v Fulham,0-0,0 - 0,[],100
Leicester v Arsenal,1-3,1 - 2,[52],52
Newcastle v Wolverhampton,1-1,0 - 0,"[52, 73]",52
Leeds v Aston Villa,0-1,0 - 1,[],100
West Bromwich v Brighton,1-0,1 - 0,[],100
Manchester City v West Ham,2-1,1 - 1,[68],68
Leeds v Southampton,3-0,0 - 0,"[47, 78, 84]",47
Brighton v Crystal Palace,1-2,0 - 1,"[55, 95]",55
Manchester Utd v Newcastle,3-1,1 - 1,"[57, 75]",57
Arsenal v Manchester City,0-1,0 - 1,[],100
Aston Villa v Leicester,1-2,0 - 2,[48],48
West Ham v Tottenham,2-1,1 - 0,"[47, 64]",47
Fulham v Sheffield Utd,1-0,0 - 0,[61],61
Liverpool v Everton,0-2,0 - 1,[83],83
Burnley v West Bromwich,0-0,0 - 0,[],100
Southampton v Chelsea,1-1,1 - 0,[54],54
Wolverhampton v Leeds,1-0,0 - 0,[64],64
Everton v Manchester City,1-3,1 - 1,"[63, 77]",63
Burnley v Fulham,1-1,0 - 0,"[49, 52]",49
Chelsea v Newcastle,2-0,2 - 0,[],100
West Ham v Sheffield Utd,3-0,1 - 0,"[58, 96]",58
Everton v Fulham,0-2,0 - 0,"[48, 65]",48
Arsenal v Leeds,4-2,3 - 0,"[47, 58, 69]",47
West Bromwich v Manchester Utd,1-1,1 - 1,[],100
Southampton v Wolverhampton,1-2,1 - 0,"[53, 66]",53
Brighton v Aston Villa,0-0,0 - 0,[],100
Manchester City v Tottenham,3-0,1 - 0,"[50, 66]",50
